symbol	company
TVSMOTOR	TVS Motor Company Ltd
ATHERENERG	Ather Energy Ltd
LUMAXTECH	Lumax Auto Technologies Ltd
ASKAUTOLTD	ASK Automotive Ltd
PRICOLLTD	Pricol Ltd
SJS	S J S Enterprises Ltd
SSWL	Steel Strips Wheels Ltd
DIVGIITTS	Divgi Torqtransfer Systems Ltd
DIVISLAB	Divis Laboratories Ltd
LAURUSLABS	Laurus Labs Ltd
GLAND	Gland Pharma Ltd
EMCURE	Emcure Pharmaceuticals Ltd
NEULANDLAB	Neuland Laboratories Ltd
ACUTAAS	Acutaas Chemicals Ltd
ONESOURCE	OneSource Specialty Pharma Ltd
SHILPAMED	Shilpa Medicare Ltd
CONCORDBIO	Concord Biotech Ltd
AARTIPHARM	Aarti Pharmalabs Ltd
INNOVACAP	Innova Captab Ltd
MOREPENLAB	Morepen Laboratories Ltd
NAVINFLUOR	Navin Fluorine International Ltd
AETHER	Aether Industries Ltd
DEEPAKFERT	Deepak Fertilisers & Petrochemicals Corp Ltd
NEOGEN	Neogen Chemicals Ltd
YASHO	Yasho Industries Ltd
ELLEN	Ellenbarrie Industrial Gases Ltd
RADICO	Radico Khaitan Ltd
HONASA	Honasa Consumer Ltd
TI	Tilaknagar Industries Ltd
SAREGAMA	Saregama India Ltd
BECTORFOOD	Mrs Bectors Food Specialities Ltd
HNDFDS	Hindustan Foods Ltd
STYLAMIND	Stylam Industries Ltd
TCPLPACK	TCPL Packaging Ltd
HFCL	HFCL Ltd
STLTECH	Sterlite Technologies Ltd
TDPOWERSYS	TD Power Systems Ltd
MTARTECH	MTAR Technologies Ltd
E2E	E2E Networks Ltd
AEROFLEX	Aeroflex Industries Ltd
SYRMA	Syrma SGS Technology Ltd
TIIL	Technocraft Industries (India) Ltd
CYIENTDLM	Cyient DLM Ltd
RAMRAT	Ram Ratna Wires Ltd
MACPOWER	Macpower CNC Machines Ltd
BSE	BSE Ltd
GROWW	Billionbrains Garage Ventures Ltd
MCX	Multi Commodity Exchange of India Ltd
360ONE	360 ONE WAM Ltd
SONACOMS	Sona BLW Precision Forgings Ltd
HAPPYFORGE	Happy Forgings Ltd
RKFORGE	Ramkrishna Forgings Ltd
STEELCAS	Steelcast Ltd
MMFL	M M Forgings Ltd
APOLLOHOSP	Apollo Hospitals Enterprise Ltd
VIJAYA	Vijaya Diagnostic Centre Ltd
PARKHOSPS	Park Medi World Ltd
HCG	Healthcare Global Enterprises Ltd
THYROCARE	Thyrocare Technologies Ltd
ARTEMISMED	Artemis Medicare Services Ltd
PAYTM	One 97 Communications Ltd
COFORGE	Coforge Ltd
TATATECH	Tata Technologies Ltd
PWL	Physicswallah Ltd
SHADOWFAX	Shadowfax Technologies Ltd
CARTRADE	Cartrade Tech Ltd
RATEGAIN	Rategain Travel Technologies Ltd
TITAN	Titan Company Ltd
KALYANKJIL	Kalyan Jewellers India Ltd
SKYGOLD	Sky Gold & Diamonds Ltd
GOLDIAM	Goldiam International Ltd
PNGSREVA	PNGS Reva Diamond Jewellery Limited
HINDZINC	Hindustan Zinc Ltd
LLOYDSME	Lloyds Metals & Energy Ltd
USHAMART	Usha Martin Ltd
JAYNECOIND	Jayaswal Neco Industries Ltd
IMFA	Indian Metals & Ferro Alloys Ltd
GRWRHITECH	Garware Hi Tech Films Ltd
PRIVISCL	Privi Speciality Chemicals Ltd
MANORAMA	Manorama Industries Ltd
POWERINDIA	Hitachi Energy India Ltd
APARINDS	Apar Industries Ltd
KEI	KEI Industries Ltd
RRKABEL	R R Kabel Ltd
ATLANTAELE	Atlanta Electricals Ltd
QPOWER	Quality Power Electrical Equipments Ltd
KSHINTL	KSH International Ltd
UNIVCABLES	Universal Cables Ltd
MSUMI	Motherson Sumi Wiring India Ltd
SANSERA	Sansera Engineering Ltd
AZAD	Azad Engineering Ltd
DYNAMATECH	Dynamatic Technologies Ltd
OMNI	Omnitech Engineering Ltd
SBCL	Shivalik Bimetal Controls Ltd
KDDL	KDDL Ltd
NRBBEARING	NRB Bearings Ltd
UNIPARTS	Uniparts India Ltd
WELCORP	Welspun Corp Ltd
DEEDEV	DEE Development Engineers Ltd
SAMBHV	Sambhv Steel Tubes Ltd
